coded_semel,semel
16,5000
24,3000
12,8300
62,7900
39,4000
4,3797
11,6600
48,9000
10,7400
32,1200
93,70
57,8600
26,8400
14,3780
59,6900
40,6400
0,1309
22,9700
41,6500
13,8700
31,6200
117,7200
162,2650
52,2610
19,2620
76,6300
90,2640
110,6800
71,9100
17,2630
23,8500
53,7000
42,2660
47,7800
5,2600
111,7700
51,3616
61,1139
20,8200
77,9500
120,9400
107,2550
36,2200
80,6700
100,2400
87,166
123,7600
130,9600
138,240
33,9300
9,2530
145,195
160,168
79,1304
153,3730
170,229
37,874
102,1015
148,246
156,2560
29,28
2,1061
240,2500
243,9800
112,681
69,31
113,2800
94,1031
157,922
125,8000
104,2100
122,182
74,154
56,3570
210,2300
163,3779
49,3650
155,1020
58,6100
183,9200
38,1034
121,1063
200,1268
176,3760
278,696
8,1113
152,831
126,565
201,3611
204,2034
18,3750
137,469
98,3788
3,1224
142,1247
356,666
82,3640
195,53
105,3763
215,577
258,3574
131,1137
60,1345
468,122
73,3557
213,3641
178,1319
442,3720
15,466
81,3823
106,3638
305,1271
214,4100
249,46
322,812
141,3563
133,3652
335,3660
189,1263
264,3765
292,1167
85,171
116,3795
63,3617
331,47
642,3769
294,3727
410,587
194,3709
78,3560
491,1066
188,99
217,3618
219,1315
221,3604
542,276
109,3725
44,709
316,3796
187,3647
377,1337
231,41
164,3564
173,3710
455,351
103,1050
132,3659
253,3768
158,3778
573,1330
309,1284
276,3791
175,1243
349,1186
325,3793
50,3770
511,3651
618,26
229,1274
97,3576
416,147
552,400
332,59
320,1333
439,3749
389,3787
184,1178
28,1310
591,326
378,661
300,3726
226,2038
671,1098
496,797
235,3655
72,3744
603,3579
479,1191
251,1368
252,190
272,615
434,3747
628,3603
345,274
554,3575
222,763
427,1344
420,3572
681,267
346,3794
422,1293
92,825
536,574
255,3654
596,1140
224,3766
259,157
25,856
128,1199
373,3643
447,3781
327,1082
293,1288
372,588
167,162
290,2055
169,65
486,3602
43,562
282,249
438,375
286,3762
75,103
328,736
330,3573
405,598
321,1376
236,720
369,663
165,3567
366,445
521,745
203,325
368,160
391,29
140,284
737,1226
265,579
273,206
202,187
211,3715
115,739
363,694
66,687
557,158
424,1240
388,880
101,217
601,4304
246,1190
269,3746
393,241
413,3756
150,155
127,804
418,858
426,213
181,320
139,429
257,21
387,242
498,4005
223,563
275,1264
302,175
166,606
390,662
509,232
220,700
86,142
594,140
208,449
658,462
392,2043
507,710
487,3822
168,282
84,824
27,1366
65,917
54,1257
147,269
277,247
586,329
136,740
311,1282
288,746
254,683
818,697
314,1363
490,592
608,715
262,66
99,817
595,418
291,586
313,1181
336,96
667,767
250,234
569,3571
604,849
814,594
430,389
326,1369
672,758
161,309
746,837
199,692
446,331
584,1222
192,316
355,288
216,3743
342,307
323,85
452,425
205,189
495,315
268,294
89,571
244,419
695,711
289,2018
191,1265
270,1182
360,198
382,1069
307,64
732,205
180,3712
198,1371
441,4007
412,134
70,737
693,1080
449,405
483,1070
482,1228
724,4701
354,801
67,1314
707,813
760,871
470,814
492,3608
533,1112
589,1370
464,377
744,3754
353,771
83,698
458,3767
394,1294
706,454
182,851
318,126
797,788
297,4011
340,778
386,2015
359,364
639,382
423,436
385,1207
95,437
646,717
456,335
425,3648
242,3752
551,1123
630,2011
68,689
358,780
689,3790
324,1105
502,3578
566,787
523,699
808,4006
558,593
508,549
544,841
867,368
473,757
7,3653
545,616
362,580
206,52
547,688
687,1242
620,1174
572,1204
553,679
21,575
610,742
540,426
428,798
466,559
625,686
186,756
607,3777
751,1340
88,785
379,799
588,446
499,4015
644,268
134,77
284,743
280,591
347,818
745,861
562,3658
245,576
555,718
743,665
248,3764
453,396
118,3649
710,618
55,570
497,685
769,448
661,3657
821,133
600,793
771,3748
303,822
287,395
467,184
592,609
415,447
800,165
256,612
179,43
516,177
46,564
193,828
833,387
404,191
611,622
380,379
727,1179
748,173
367,791
348,2003
371,1095
281,440
462,888
613,1171
700,308
820,761
529,760
702,1114
643,365
334,772
91,1244
488,850
669,1313
682,734
337,1260
471,431
786,390
357,399
531,853
641,357
472,1201
197,604
773,340
172,802
185,819
474,723
517,380
599,3599
457,1297
144,1336
451,16
640,1165
384,721
904,919
829,409
570,176
583,806
267,415
550,2033
666,765
459,306
432,2048
239,1064
351,690
698,327
463,1160
720,610
361,2010
763,707
799,397
96,727
129,749
228,1071
764,280
409,386
477,24
717,747
527,1374
709,67
350,722
665,1138
510,796
119,731
526,1127
660,3613
528,857
421,286
721,877
766,174
401,744
565,2061
548,863
780,1183
512,762
712,115
444,2013
209,803
633,259
407,130
475,3784
816,72
703,1177
617,680
736,48
612,363
375,233
567,2029
285,414
580,1221
343,334
715,748
352,773
574,613
308,230
561,673
30,208
650,726
398,383
493,80
443,1065
435,178
850,784
227,2049
465,7
825,3488
805,706
151,582
615,800
653,2045
535,805
637,839
525,289
582,729
810,366
146,90
679,204
408,132
631,585
241,1365
670,225
621,248
775,1419
716,620
383,735
571,428
374,607
907,71
659,170
263,4101
339,827
304,677
648,584
694,112
690,1024
593,701
587,197
539,256
271,553
729,79
299,764
518,674
520,708
274,1236
692,435
783,1323
654,97
135,373
722,374
546,605
752,360
647,33
298,838
338,300
828,290
719,2002
827,779
708,732
232,4026
207,668
756,4021
494,255
411,807
844,463
886,292
174,135
801,433
400,430
190,3644
247,344
159,376
790,672
705,167
723,219
514,313
857,434
768,163
564,302
489,250
852,82
212,339
909,4702
306,18
759,682
35,567
381,866
626,3724
344,753
225,2060
154,1372
728,388
911,239
779,789
501,456
333,322
538,423
295,11
912,92
657,394
675,1208
754,2046
503,13
798,768
476,752
619,684
901,1275
559,1149
543,293
485,864
460,1110
806,811
406,304
897,301
804,367
734,4551
515,815
429,3565
623,3719
1,1203
913,795
898,3656
655,2023
506,1272
522,809
513,460
301,270
855,1145
504,104
283,4017
796,1249
680,842
842,759
395,766
849,424
560,712
397,253
519,452
629,2009
758,57
785,619
677,362
436,1198
735,336
296,775
750,4028
171,892
788,4014
711,3723
581,3607
649,617
819,393
234,1083
585,194
755,845
733,786
696,192
45,55
738,417
108,1235
725,3759
433,356
576,2059
279,84
632,159
218,693
541,89
778,808
813,3745
787,444
614,670
230,2012
319,862
802,3569
260,354
731,2030
635,741
634,36
757,769
925,1132
149,1262
892,457
838,1155
484,1115
772,595
578,2014
651,2052
767,86
922,664
740,4008
921,865
840,597
636,777
663,783
341,193
530,1175
577,372
846,262
794,358
792,555
741,3561
811,76
532,144
575,303
414,74
537,220
895,297
64,1146
834,1072
807,794
549,1176
579,823
556,94
815,1046
419,2008
403,237
933,730
885,4012
826,599
812,810
836,223
896,139
396,465
481,1287
765,422
563,453
437,406
622,2050
678,398
454,324
315,442
864,407
685,2016
402,1143
809,1202
861,4204
862,667
753,870
364,705
417,37
905,1227
762,257
863,3824
616,432
699,2051
534,2047
865,816
902,873
238,295
770,285
478,27
774,2064
233,852
480,716
870,2035
871,63
448,3782
900,127
143,1108
177,443
877,751
469,1128
652,330
795,2057
440,1364
686,572
891,416
697,1214
445,1196
365,1361
853,1230
399,281
915,1283
684,792
856,49
668,106
793,836
370,32
624,369
714,1256
500,1151
718,408
598,273
858,345
739,2026
742,264
34,1232
431,346
874,319
376,750
329,1223
450,3639
312,3645
310,1067
888,1205
266,1125
261,1079
237,15
317,846
645,596
461,859
749,3646
691,713
701,1136
704,4002
713,143
726,287
730,1377
747,62
761,695
505,885
776,224
777,342
781,4025
782,916
784,820
789,776
791,1077
688,1044
683,2054
676,69
674,10
524,2062
568,1052
590,714
597,4003
602,1241
605,95
606,450
609,1285
627,439
638,39
887,573
656,183
662,829
664,254
673,196
196,413
832,844
114,2044
920,1280
916,848
917,3601
848,854
847,3785
918,602
919,146
845,1210
843,1278
929,235
841,4004
923,821
924,202
839,402
926,826
881,207
927,1172
851,4503
854,2053
880,623
914,675
872,1150
869,889
868,1237
866,23
899,164
903,311
875,1047
876,4013
906,141
908,3556
860,348
859,648
910,1058
878,589
879,113
928,1148
930,1258
6,703
949,200
882,272
945,352
946,278
947,343
883,1103
824,590
948,4024
950,385
931,44
890,843
884,1209
823,1252
951,421
817,3568
822,464
889,1102
830,3751
944,2042
893,265
943,35
837,1147
932,310
934,1233
935,1133
936,318
835,1068
937,4022
938,1206
939,774
940,1180
941,614
894,1129
873,578
942,1253
831,403
803,719
,3566
,98
,312
,1254
,1051
,1104
,2063
,317
,145
,359
,1211
,370
,263
,755
,4301
,3615
,1130
,3605
,1231
,78
,1081
,1045
,833
,1156
,1291
,3558
,4009
,738
,3717
,678
,1126
,355
,3786
,3612
,1213
,872
,1141
,298
,1124
,676
,128
,1094
,218
,4019
,378
,3609
,1251
,1043
,305
,1229
,527
,3614
,1248
,1158
,1220
,1085
,603
,1134
,1239
,1311
,252
,3610
,1338
,627
,1255
,1084
,1197
,1184
,1324
,840
,1185
,3555
,1166
,3619
,1261
,1266
,4303
,8800
,22
,1238
,427
,3713
,3598
,534
,1259
,156
,296
,338
,1279
,4010
,1219
,1173
,328
,472
,518
,107
,347
,88
,58
,3606
,102
,502
,3620
,353
,1322
,1076
,702
,212
,1225
,186
,530
,868
,1212
,1157
,2039
,1318
,371
,638
,1276
,494
,1162
,890
,2730
,2710
,1054
,1195
,2006
,1056
,2720
,1303
,1057
,944
,8900
,978
,1358
,6000
,522
,975
,1292
,634
,481
,1325
,473
,509
,542
,637
,514
,649
,516
,1348
,1346
,7500
,537
,1359
,507
,508
,543
,1163
,517
,504
,510
,490
,962
,487
,497
,482
,483
,532
,489
,529
,1327
,498
,478
,654
,628
,635
,652
,993
,499
,1295
,1060
,1339
,1375
,1059
,505
,523
,538
,1154
,412
,475
,480
,485
,492
,493
,496
,511
,512
,520
,521
,524
,525
,526
,528
,531
,535
,536
,539
,540
,541
,546
,547
,566
,633
,636
,658
,882
,886
,897
,913
,921
,926
,942
,990
,994
,997
,998
,1153
,1192
,1245
,1246
,1286
,1290
,1296
,1316
,1317
,1320
,1321
,1326
,1331
,1332
,1334
,1335
,1342
,1343
,1347
,1349
,1360
,1367
,2024
,4001
,4201
,4203
,4501
,4502
,1161
,7300
